contract_player_name,contract_year,contract_value,total_passing_attempts,total_passing_completions,total_passing_yards,total_passing_rating,total_passing_touchdowns,total_passing_interceptions,total_passing_sacks,total_passing_sacks_yards_lost,total_rushing_attempts,total_rushing_yards,total_rushing_touchdowns,total_games
Robert Griffin III,2016,15000000.0,689,1082,8181,3466.3000000000006,42,24,103,734,249,1501,8,38
Robert Griffin III,2012,21119098.0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Griffin III,2019,4000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Griffin III,2018,1100000.0,87,147,886,354.19999999999993,2,3,22,138,31,190,2,5
Ryan Tannehill,2020,118000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Tannehill,2015,77000000.0,1029,1662,11252,4024.0000000000005,63,42,139,970,145,760,4,48
Ryan Tannehill,2019,7000000.0,624,975,7203,2668.2999999999997,43,24,74,636,71,305,2,29
Ryan Tannehill,2012,12668512.0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Weeden,2012,8083596.0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Weeden,2016,4000000.0,121,181,1346,1081.3999999999999,8,4,11,86,22,46,1,11
Brandon Weeden,2017,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Weeden,2014,1230000.0,438,784,5116,1671.5000000000002,23,26,55,366,39,155,0,23
Brandon Weeden,2018,790000.0,0,0,0,0,0,0,0,0,0,0,0,1
Brock Osweiler,2016,72000000.0,187,305,2126,1193.2,11,6,25,159,40,50,1,22
Brock Osweiler,2012,3516678.0,0,0,0,0,0,0,0,0,0,0,0,0
Brock Osweiler,2018,880000.0,62,117,701,259.70000000000005,3,4,6,42,6,22,0,4
Brock Osweiler,2017,775000.0,338,575,3322,1204.5,17,19,30,223,37,164,3,17
Russell Wilson,2022,245000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Wilson,2019,140000000.0,1022,1574,12229,4657.599999999999,86,32,125,806,257,1312,5,47
Russell Wilson,2015,87600000.0,917,1454,11770,5528.7,84,32,143,845,351,2132,13,56
Russell Wilson,2012,2996774.0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Foles,2019,88000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Foles,2015,25000000.0,573,926,6948,2780.3000000000006,48,17,59,397,85,334,4,29
Nick Foles,2018,29000000.0,4,4,56,214.5,0,0,1,8,7,-6,0,3
Nick Foles,2020,24000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Foles,2017,11000000.0,36,55,410,221.5,3,0,4,34,4,-4,0,3
Nick Foles,2016,8500000.0,190,337,2052,818.6,7,10,14,98,17,20,1,11
Nick Foles,2022,6200000.0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Foles,2012,2768520.0,0,0,0,0,0,0,0,0,0,0,0,0
Kirk Cousins,2022,35000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Kirk Cousins,2020,66000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Kirk Cousins,2018,84000000.0,249,376,3038,1131.3,19,6,31,269,36,145,3,11
Kirk Cousins,2017,23943600.0,406,606,4917,1582.1999999999998,25,12,23,190,34,96,4,16
Kirk Cousins,2016,19953000.0,651,1006,7556,2942.4999999999995,48,30,48,374,43,106,6,32
Kirk Cousins,2012,2572688.0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Lindley,2015,1335000.0,61,121,644,209.39999999999998,3,6,10,77,0,0,0,4
Ryan Lindley,2015,660000.0,61,121,644,209.39999999999998,3,6,10,77,0,0,0,4
Ryan Lindley,2012,2205308.0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Lindley,2014,570000.0,89,171,752,294.79999999999995,0,7,12,91,4,7,0,7
Ryan Lindley,2014,107100.0,89,171,752,294.79999999999995,0,7,12,91,4,7,0,7
EJ Manuel,2013,8885300.0,0,0,0,0,0,0,0,0,0,0,0,0
EJ Manuel,2018,1000000.0,24,43,265,139.6,1,1,4,29,2,15,0,2
EJ Manuel,2017,800000.0,319,547,3502,1631.3,19,15,43,268,94,324,4,29
EJ Manuel,2019,805000.0,0,0,0,0,0,0,0,0,0,0,0,0
Geno Smith,2023,75000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Geno Smith,2022,3500000.0,0,0,0,0,0,0,0,0,0,0,0,0
Geno Smith,2013,5019603.0,0,0,0,0,0,0,0,0,0,0,0,0
Geno Smith,2017,1200000.0,501,866,5962,2313.1000000000004,28,36,77,528,135,647,7,33
Geno Smith,2021,1212500.0,0,0,0,0,0,0,0,0,0,0,0,0
Geno Smith,2020,1187500.0,0,0,0,0,0,0,0,0,0,0,0,0
Geno Smith,2018,1000000.0,0,2,0,39.6,0,0,0,0,1,-1,0,1
Geno Smith,2019,895000.0,0,0,0,0,0,0,0,0,0,0,0,0
Geno Smith,2019,870000.0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Glennon,2017,45000000.0,374,630,4100,1752.6000000000001,30,15,56,405,37,86,0,21
Mike Glennon,2018,8000000.0,93,140,833,304.7,4,5,8,78,4,4,0,5
Mike Glennon,2019,1950000.0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Glennon,2021,1375000.0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Glennon,2013,3104063.0,0,0,0,0,0,0,0,0,0,0,0,0
